データセット_ID,全国地方公共団体コード,地方公共団体名,データセット_タイトル,データセット_サブタイトル,データセット_概要,データセット_キーワード,データセット_分類,データセット_ユニバーサルメニュー,データセット_公開日,データセット_最終更新日,データセット_バージョン,データセット_言語,データセット_URL,データセット_更新頻度,データセット_準拠する標準,データセット_来歴情報,データセット_対象地域,データセット_対象期間,データセット_連絡先名称,データセット_連絡先メールアドレス,データセット_連絡先電話番号,データセット_連絡先内線番号,データセット_連絡先FormURL,データセット_連絡先備考（その他、SNSなど）,データセット_備考,ファイル_タイトル,ファイル_アクセスURL,ファイル_ダウンロードURL,ファイル_説明,ファイル形式,ファイル_ライセンス,ファイル_ステータス,ファイル_サイズ,ファイル_公開日,ファイル_最終更新日,ファイル_利用規約,ファイル_関連ドキュメント,ファイル_言語,ファイル_準拠する標準,ファイル_API対応有無
,122319,千葉県印西市,公衆無線LANアクセスポイント一覧,,印西市が管理する公衆無線LANアクセスポイントの一覧。,,情報通信・科学技術,,2024/1/19,2024/1/19,,ja,https://www2.wagmap.jp/inzai/OpenData,,自治体標準オープンデータセット,,千葉県印西市,,,,,,,,,opendata_1425.csv,https://www2.wagmap.jp/inzai/OpenData,,印西市が管理する公衆無線LANアクセスポイントの一覧。,csv,CC BY 2.1 JP,配信中,,2024/1/19,2024/1/19,,,ja,自治体標準オープンデータセット,
,122319,千葉県印西市,AED設置箇所一覧,,印西市のAED設置個所の一覧。,,司法・安全・環境,,2024/1/19,2024/1/19,,ja,https://www2.wagmap.jp/inzai/OpenData,,自治体標準オープンデータセット,,千葉県印西市,,,,,,,,,opendata_1426.csv,https://www2.wagmap.jp/inzai/OpenData,,印西市のAED設置個所の一覧。,csv,CC BY 2.1 JP,配信中,,2024/1/19,2024/1/19,,,ja,自治体標準オープンデータセット,
,122319,千葉県印西市,公営駐輪場一覧,,印西市の公営駐輪場の一覧。,,教育・文化・スポーツ・生活,,2024/2/9,2024/2/5,,ja,https://www.city.inzai.lg.jp/0000004803.html,,自治体標準オープンデータセット,,千葉県印西市,,,,,,,,,122319_bicycle_parking.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の公営駐輪場の一覧。,csv,CC BY 4.0,配信中,,2024/2/9,2024/2/5,,,ja,自治体標準オープンデータセット,
,122319,千葉県印西市,介護サービス事業所一覧,,印西市の介護サービス事業所の一覧。,,社会保障・衛生,,2024/2/9,2024/2/5,,ja,https://www.city.inzai.lg.jp/0000004803.html,,自治体標準オープンデータセット,,千葉県印西市,,,,,,,,,122319_care_service.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の介護サービス事業所の一覧。,csv,CC BY 4.0,配信中,,2024/2/9,2024/2/5,,,ja,自治体標準オープンデータセット,
,122319,千葉県印西市,防災行政無線設置一覧,,印西市の防災行政無線設置個所の一覧。,,司法・安全・環境,,2024/2/9,2024/7/30,,ja,https://www.city.inzai.lg.jp/0000004803.html,,自治体標準オープンデータセット,,千葉県印西市,,,,,,,,,122319_emergrncy_radio.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の防災行政無線設置個所の一覧。,csv,CC BY 4.0,配信中,,2024/2/9,2024/7/30,,,ja,自治体標準オープンデータセット,
,122319,千葉県印西市,イベント一覧,,印西市のイベント。,,教育・文化・スポーツ・生活,,2024/2/9,2024/2/5,,ja,https://www.city.inzai.lg.jp/0000004803.html,,自治体標準オープンデータセット,,千葉県印西市,,,,,,,,,122319_event.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市のイベント。,csv,CC BY 4.0,配信中,,2024/2/9,2024/2/5,,,ja,自治体標準オープンデータセット,
,122319,千葉県印西市,医療機関一覧,,印西市の医療機関の一覧。,,社会保障・衛生,,2024/2/9,2024/2/5,,ja,https://www.city.inzai.lg.jp/0000004803.html,,自治体標準オープンデータセット,,千葉県印西市,,,,,,,,,122319_hospital.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の医療機関の一覧。,csv,CC BY 4.0,配信中,,2024/2/9,2024/2/5,,,ja,自治体標準オープンデータセット,
,122319,千葉県印西市,オープンデータ一覧,,印西市のオープンの一覧。,,その他,,2024/2/9,2024/8/6,,ja,https://www.city.inzai.lg.jp/0000004803.html,,自治体標準オープンデータセット,,千葉県印西市,,,,,,,,,122319_open_data_list.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市のオープンの一覧。,csv,CC BY 4.0,配信中,,2024/2/9,2024/2/5,,,ja,自治体標準オープンデータセット,
,122319,千葉県印西市,子育て施設一覧,,印西市の子育て施設一覧。,,教育・文化・スポーツ・生活,,2024/2/9,2024/2/5,,ja,https://www.city.inzai.lg.jp/0000004803.html,,自治体標準オープンデータセット,,千葉県印西市,,,,,,,,,122320_hospital.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の子育て施設一覧。,csv,CC BY 4.0,配信中,,2024/2/9,2024/2/5,,,ja,自治体標準オープンデータセット,
,122319,千葉県印西市,小中学校通学区域情報,,印西市の小中学校通学区域情報。,,教育・文化・スポーツ・生活,,2024/2/9,2024/2/5,,ja,https://www.city.inzai.lg.jp/0000004803.html,,自治体標準オープンデータセット,,千葉県印西市,,,,,,,,,122319_school_district.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の小中学校通学区域情報。,csv,CC BY 4.0,配信中,,2024/2/9,2024/8/6,,,ja,自治体標準オープンデータセット,
,122319,千葉県印西市,観光ポイント,,印西市の観光ポイント。,,運輸・観光,,2024/2/9,2024/2/5,,ja,https://www.city.inzai.lg.jp/0000004803.html,,自治体標準オープンデータセット,,千葉県印西市,,,,,,,,,122319_tourist_attraction.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の観光ポイント。,csv,CC BY 4.0,配信中,,2024/2/9,2024/2/5,,,ja,自治体標準オープンデータセット,
,122319,千葉県印西市,土砂災害警戒区域,,印西市の土砂災害警戒区域。,,司法・安全・環境,,2022/12/13,2024/1/22,,ja,https://www2.wagmap.jp/inzai/OpenData,,,,千葉県印西市,,,,,,,,,opendata_21.csv,https://www2.wagmap.jp/inzai/OpenData,,印西市の土砂災害警戒区域。,csv,CC BY 2.1 JP,配信中,,2022/12/13,2024/1/22,,,ja,,
,122319,千葉県印西市,土砂災害特別警戒区域,,印西市の土砂災害特別警戒区域。,,司法・安全・環境,,2022/12/13,2024/1/22,,ja,https://www2.wagmap.jp/inzai/OpenData,,,,千葉県印西市,,,,,,,,,opendata_22.csv,https://www2.wagmap.jp/inzai/OpenData,,印西市の土砂災害特別警戒区域。,csv,CC BY 2.1 JP,配信中,,2022/12/13,2024/1/22,,,ja,,
,122319,千葉県印西市,広域避難場所,,印西市の広域避難場所。,,司法・安全・環境,,2022/12/13,2024/1/22,,ja,https://www2.wagmap.jp/inzai/OpenData,,,,千葉県印西市,,,,,,,,,opendata_24.csv,https://www2.wagmap.jp/inzai/OpenData,,印西市の広域避難場所。,csv,CC BY 2.1 JP,配信中,,2022/12/13,2024/1/22,,,ja,,
,122319,千葉県印西市,指定避難所,,印西市の指定避難所。,,司法・安全・環境,,2022/12/13,2024/1/22,,ja,https://www2.wagmap.jp/inzai/OpenData,,,,千葉県印西市,,,,,,,,,opendata_25.csv,https://www2.wagmap.jp/inzai/OpenData,,印西市の指定避難所。,csv,CC BY 2.1 JP,配信中,,2022/12/13,2024/1/22,,,ja,,
,122319,千葉県印西市,特別避難所,,印西市の特別避難所。,,司法・安全・環境,,2022/12/13,2024/1/22,,ja,https://www2.wagmap.jp/inzai/OpenData,,,,千葉県印西市,,,,,,,,,opendata_26.csv,https://www2.wagmap.jp/inzai/OpenData,,印西市の特別避難所。,csv,CC BY 2.1 JP,配信中,,2022/12/13,2024/1/22,,,ja,,
,122319,千葉県印西市,災害用井戸,,印西市の災害用井戸。,,司法・安全・環境,,2022/12/13,2024/1/22,,ja,https://www2.wagmap.jp/inzai/OpenData,,,,千葉県印西市,,,,,,,,,opendata_30.csv,https://www2.wagmap.jp/inzai/OpenData,,印西市の災害用井戸。,csv,CC BY 2.1 JP,配信中,,2022/12/13,2024/1/22,,,ja,,
,122319,千葉県印西市,市の施設一覧,,印西市の公共施設一覧。,,教育・文化・スポーツ・生活,,,2021/5/1,,ja,https://www.city.inzai.lg.jp/0000004803.html,,,,千葉県印西市,,,,,,,,,publicfacility.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の公共施設一覧。,csv,CC BY 4.0,配信中,,,2021/5/1,,,ja,,
,122319,千葉県印西市,保育園（公立及び私立）,,印西市の保育園の一覧。,,教育・文化・スポーツ・生活,,,2021/11/1,,ja,https://www.city.inzai.lg.jp/0000004803.html,,,,千葉県印西市,,,,,,,,,nursery.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の保育園の一覧。,csv,CC BY 4.0,配信中,,,2021/11/1,,,ja,,
,122319,千葉県印西市,学童クラブ（公立及び私立）,,印西市の学童クラブの一覧。,,教育・文化・スポーツ・生活,,,2021/3/1,,ja,https://www.city.inzai.lg.jp/0000004803.html,,,,千葉県印西市,,,,,,,,,pupil.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の学童クラブの一覧。,csv,CC BY 4.0,配信中,,,2021/3/1,,,ja,,
,122319,千葉県印西市,文化財,,印西市の文化財の一覧。,,教育・文化・スポーツ・生活,,,2021/5/1,,ja,https://www.city.inzai.lg.jp/0000004803.html,,,,千葉県印西市,,,,,,,,,culturalproperties.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の文化財の一覧。,csv,CC BY 4.0,配信中,,,2021/5/1,,,ja,,
,122319,千葉県印西市,オストメイトトイレ設置場所（市の施設）,,印西市のオストメイトトイレの一覧。,,社会保障・衛生,,,2021/5/1,,ja,https://www.city.inzai.lg.jp/0000004803.html,,,,千葉県印西市,,,,,,,,,ostomate.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市のオストメイトトイレの一覧。,csv,CC BY 4.0,配信中,,,2021/5/1,,,ja,,
,122319,千葉県印西市,投票所一覧,,印西市の投票所の一覧。,,行政財,,2024/7/1,2024/7/1,,ja,https://www.city.inzai.lg.jp/0000004803.html,,,,千葉県印西市,,,,,,,,,polling_place.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の投票所の一覧。,csv,CC BY 4.0,配信中,,2024/7/1,2024/7/1,,,ja,,
,122319,千葉県印西市,選挙ポスター掲示場,,印西市の選挙ポスター掲示場。,,教育・文化・スポーツ・生活,,2024/7/1,2024/7/1,,ja,https://www.city.inzai.lg.jp/0000004803.html,,,,千葉県印西市,,,,,,,,,election_poster.csv,https://www.city.inzai.lg.jp/0000004803.html,,印西市の選挙ポスター掲示場。,csv,CC BY 4.0,配信中,,2024/7/1,2024/7/1,,,ja,,
